,region,site,date,depth_m,transect,colony_id,coral_species,col_size,l_cm,w_cm,percent_live,percent_col_inside,n_scars,percent_new,scar_min_mm2,scar_max_mm2,scar_med_mm2
143,Panamá,Isla Pastores Inside,2013-08-19,10,1,143,Siderastrea siderea,10 to 20,18,15,100,100,30,0,NA,NA,NA
144,Panamá,Isla Pastores Inside,2013-08-19,10,1,144,Siderastrea siderea,20 to 40,38,30,40,100,0,0,NA,NA,NA
145,Panamá,Isla Pastores Inside,2013-08-19,10,1,145,Siderastrea siderea,20 to 40,30,22,20,100,0,0,NA,NA,NA
146,Panamá,Isla Pastores Inside,2013-08-19,10,1,146,Siderastrea siderea,5 to 10,8,6,95,100,0,0,NA,NA,NA
147,Panamá,Isla Pastores Inside,2013-08-19,10,1,147,Siderastrea siderea,10 to 20,16,9,40,100,0,0,NA,NA,NA
148,Panamá,Isla Pastores Inside,2013-08-19,10,1,148,Siderastrea siderea,20 to 40,21,16,70,100,0,0,NA,NA,NA
149,Panamá,Isla Pastores Inside,2013-08-19,10,1,149,Siderastrea siderea,20 to 40,31,22,100,100,1,0,NA,NA,NA
150,Panamá,Isla Pastores Outside,2013-08-20,10,1,150,Agaricia tenuifolia,10 to 20,13,13,100,100,0,0,NA,NA,NA
151,Panamá,Isla Pastores Outside,2013-08-20,10,1,151,Agaricia tenuifolia,20 to 40,35,17,100,100,1,1,NA,NA,21.206
152,Panamá,Isla Pastores Outside,2013-08-20,10,1,152,Agaricia spp.,5 to 10,7,5,20,100,2,100,17.279,26.704,NA
153,Panamá,Isla Pastores Outside,2013-08-20,10,1,153,Stephanocoenia intersepta,20 to 40,20,18,30,100,2,0,NA,NA,NA
154,Panamá,Isla Pastores Outside,2013-08-20,10,1,154,Siderastrea siderea,40 to 80,46,34,30,100,0,0,NA,NA,NA
155,Panamá,Isla Pastores Outside,2013-08-20,5,2,155,Agaricia agaricites,5 to 10,6,4,100,100,1,0,NA,NA,NA
156,Panamá,Isla Pastores Outside,2013-08-20,5,2,156,Agaricia agaricites,5 to 10,7,7,100,100,2,0,NA,NA,NA
157,Panamá,Isla Pastores Outside,2013-08-20,5,2,157,Branching Porites spp.,10 to 20,11,8,100,100,7,1,7.069,28.274,12.566
158,Panamá,Isla Pastores Outside,2013-08-20,5,2,158,Branching Porites spp.,20 to 40,22,14,100,100,19,0,NA,NA,NA
159,Panamá,Arcoiris Reef,2013-08-20,10,1,159,Siderastrea siderea,10 to 20,13,12,100,100,12,0,NA,NA,NA
160,Panamá,Arcoiris Reef,2013-08-20,10,1,160,Porites astreoides,20 to 40,24,18,100,100,41,5,3.142,7.854,3.927
161,Panamá,Arcoiris Reef,2013-08-20,10,1,161,Agaricia lamarcki,10 to 20,10,8,100,100,3,0,NA,NA,NA
162,Panamá,Arcoiris Reef,2013-08-20,10,1,162,Siderastrea siderea,20 to 40,26,13,20,100,0,0,NA,NA,NA
163,Panamá,Arcoiris Reef,2013-08-20,10,1,163,Siderastrea siderea,10 to 20,10,9,20,100,0,0,NA,NA,NA
164,Panamá,Arcoiris Reef,2013-08-20,10,1,164,Siderastrea siderea,20 to 40,25,20,10,100,0,0,NA,NA,NA
165,Panamá,Arcoiris Reef,2013-08-20,10,1,165,Siderastrea siderea,10 to 20,17,9,80,100,0,0,NA,NA,NA
166,Panamá,Arcoiris Reef,2013-08-20,5,2,166,Branching Porites spp.,20 to 40,35,24,100,100,10,20,7.069,15.708,12.566
167,Panamá,Arcoiris Reef,2013-08-20,5,2,167,Agaricia agaricites,20 to 40,22,12,100,100,2,50,35.343,47.124,NA
168,Panamá,Arcoiris Reef,2013-08-20,5,2,168,Helioseris cucullata,5 to 10,8,6,100,100,1,100,NA,NA,34.558
169,Panamá,Arcoiris Reef,2013-08-20,5,2,169,Helioseris cucullata,5 to 10,6,5,100,100,1,0,NA,NA,NA
170,Panamá,Arcoiris Reef,2013-08-20,5,2,170,Branching Porites spp.,20 to 40,35,27,100,100,16,0,NA,NA,NA
171,Panamá,Casa Blanca,2013-07-08,10,1,171,Siderastrea siderea,5 to 10,NA,NA,100,100,0,NA,NA,NA,NA
172,Panamá,Casa Blanca,2013-07-08,10,1,172,Siderastrea siderea,5 to 10,NA,NA,100,100,0,NA,NA,NA,NA
173,Panamá,Casa Blanca,2013-07-08,10,1,173,Siderastrea siderea,5 to 10,NA,NA,100,100,0,NA,NA,NA,NA
174,Panamá,Casa Blanca,2013-07-08,10,1,174,Siderastrea siderea,10 to 20,NA,NA,100,100,0,NA,NA,NA,NA
175,Panamá,Casa Blanca,2013-07-08,10,1,175,Siderastrea siderea,10 to 20,NA,NA,100,100,0,NA,NA,NA,NA
176,Panamá,Casa Blanca,2013-07-08,10,1,176,Siderastrea siderea,10 to 20,NA,NA,100,100,0,NA,NA,NA,NA
177,Panamá,Casa Blanca,2013-07-08,10,1,177,Siderastrea siderea,10 to 20,NA,NA,100,100,0,NA,NA,NA,NA
178,Panamá,Casa Blanca,2013-07-08,10,1,178,Siderastrea siderea,10 to 20,NA,NA,100,100,0,NA,NA,NA,NA
179,Panamá,Casa Blanca,2013-07-08,10,1,179,Siderastrea siderea,10 to 20,NA,NA,100,100,0,NA,NA,NA,NA
180,Panamá,Casa Blanca,2013-07-08,10,1,180,Siderastrea siderea,10 to 20,NA,NA,100,100,0,NA,NA,NA,NA
181,Panamá,Casa Blanca,2013-07-08,10,1,181,Siderastrea siderea,10 to 20,NA,NA,100,100,0,NA,NA,NA,NA
182,Panamá,Casa Blanca,2013-07-08,10,1,182,Siderastrea siderea,10 to 20,NA,NA,100,100,0,NA,NA,NA,NA
183,Panamá,Casa Blanca,2013-07-08,10,1,183,Siderastrea siderea,20 to 40,NA,NA,100,100,0,NA,NA,NA,NA
184,Panamá,Casa Blanca,2013-07-08,10,1,184,Siderastrea siderea,20 to 40,NA,NA,100,100,0,NA,NA,NA,NA
185,Panamá,Casa Blanca,2013-07-08,10,1,185,Siderastrea siderea,20 to 40,NA,NA,100,100,0,NA,NA,NA,NA
186,Panamá,Casa Blanca,2013-07-08,10,1,186,Siderastrea siderea,40 to 80,NA,NA,100,100,0,NA,NA,NA,NA
187,Panamá,Casa Blanca,2013-07-08,10,1,187,Stephanocoenia intersepta,5 to 10,NA,NA,100,100,0,NA,NA,NA,NA
188,Panamá,Casa Blanca,2013-07-08,10,1,188,Stephanocoenia intersepta,5 to 10,NA,NA,100,100,0,NA,NA,NA,NA
189,Panamá,Casa Blanca,2013-07-08,10,1,189,Stephanocoenia intersepta,5 to 10,NA,NA,100,100,0,NA,NA,NA,NA
190,Panamá,Casa Blanca,2013-07-08,10,1,190,Stephanocoenia intersepta,5 to 10,NA,NA,100,100,0,NA,NA,NA,NA
191,Panamá,Casa Blanca,2013-07-08,10,1,191,Stephanocoenia intersepta,5 to 10,NA,NA,100,100,0,NA,NA,NA,NA
192,Panamá,Casa Blanca,2013-07-08,10,1,192,Stephanocoenia intersepta,5 to 10,NA,NA,100,100,0,NA,NA,NA,NA
193,Panamá,Casa Blanca,2013-07-08,10,1,193,Stephanocoenia intersepta,5 to 10,NA,NA,100,100,0,NA,NA,NA,NA
194,Panamá,Casa Blanca,2013-07-08,10,1,194,Stephanocoenia intersepta,5 to 10,NA,NA,100,100,0,NA,NA,NA,NA
195,Panamá,Casa Blanca,2013-07-08,10,1,195,Stephanocoenia intersepta,5 to 10,NA,NA,100,100,0,NA,NA,NA,NA
196,Panamá,Casa Blanca,2013-07-08,10,1,196,Stephanocoenia intersepta,5 to 10,NA,NA,100,100,0,NA,NA,NA,NA
197,Panamá,Casa Blanca,2013-07-08,10,1,197,Stephanocoenia intersepta,5 to 10,NA,NA,100,100,0,NA,NA,NA,NA
198,Panamá,Casa Blanca,2013-07-08,10,1,198,Stephanocoenia intersepta,5 to 10,NA,NA,100,100,0,NA,NA,NA,NA
199,Panamá,Casa Blanca,2013-07-08,10,1,199,Stephanocoenia intersepta,5 to 10,NA,NA,100,100,0,NA,NA,NA,NA
200,Panamá,Casa Blanca,2013-07-08,10,1,200,Stephanocoenia intersepta,10 to 20,NA,NA,100,100,0,NA,NA,NA,NA
201,Panamá,Casa Blanca,2013-07-08,10,1,201,Stephanocoenia intersepta,10 to 20,NA,NA,100,100,0,NA,NA,NA,NA
202,Panamá,Casa Blanca,2013-07-08,10,1,202,Stephanocoenia intersepta,10 to 20,NA,NA,100,100,0,NA,NA,NA,NA
203,Panamá,Casa Blanca,2013-07-08,10,1,203,Stephanocoenia intersepta,10 to 20,NA,NA,100,100,0,NA,NA,NA,NA
204,Panamá,Casa Blanca,2013-07-08,10,1,204,Stephanocoenia intersepta,10 to 20,NA,NA,100,100,0,NA,NA,NA,NA
205,Panamá,Casa Blanca,2013-07-08,10,1,205,Stephanocoenia intersepta,10 to 20,NA,NA,100,100,0,NA,NA,NA,NA
206,Panamá,Casa Blanca,2013-07-08,10,1,206,Stephanocoenia intersepta,10 to 20,NA,NA,100,100,0,NA,NA,NA,NA
